,id,publish_time,title,channelId,channelTitle,,dimension,definition,caption,licensedContent,viewCount,likeCount,commentCount,favoriteCount,categoryId,category,tags
0,ktesDdqT5lU,2022-12-07T16:00:12Z,"Brawl Stars: Brawl Talk - BYE Boxes, FREE New Brawler, and STARR ROAD!!!",UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars,,2d,hd,TRUE,TRUE,7024697,432678,37336,0,20,Gaming,"['brawl stars', 'mobile game', 'mobile strategy game', 'mobile rpg', 'mobile battle royale', 'battle royale', 'supercell game', 'byebyeboxes', '3 new brawlers', 'starr road', 'candyland', 'season 16']"
1,R15uYFpeBG0,2022-12-07T15:30:29Z,Star Wars: The Bad Batch Season 2 | Official Trailer | Disney+,UCZGYJFUizSax-yElQaFDp5Q,Star Wars,,2d,hd,TRUE,TRUE,1644762,71588,3951,0,20,Gaming,
2,LXzPkkQirnM,2022-12-06T14:00:15Z,[HOONIGAN] Gymkhana 2022: Travis Pastrana Goes Berserk in Florida in a 862HP Subaru Wagon,UCXlfi8sf6cKGQ8sOd0-yRuw,Hoonigan,,2d,hd,FALSE,TRUE,4517495,195673,10418,0,20,Gaming,"['Hoonigan', 'hoonegan', 'Ken Block', 'hoon', 'hooning', 'travis pastrana', 'travis pastrana gymkhana', 'gymkhana 2022', 'subaru gl wagon gymkhana', 'subaru motorsports', 'travis pastrana subaru', 'fort lauderdale', 'modified cars', 'car stunts', 'gymkhana 11', 'gymkhana eleven', 'subaru gymkhana', 'cleetus mcfarland', 'el camino', 'drag race', 'dragsters', 'drag racers', 'monster truck', 'monster jam', 'grave digger', 'sonuva digger', 'son-uva digger', 'helicopter', 'florida', 'subaru wagon', 'ft lauderdale']"
3,ue_Vvfed6T4,2022-12-07T15:00:06Z,The 10 best new Pokémon in Scarlet and Violet,UC9OZkS1Mhl5UvKSiPrYqsxg,WolfeyVGC,,2d,hd,FALSE,TRUE,506090,25148,1795,0,20,Gaming,"['Wolfey', 'Pokemon', 'VGC', 'Wolfe Glick', 'Competitive Pokemon', 'Pokemon VGC', 'twitch', 'pokemon nuzlocke', 'nuzlocke', 'hardcore nuzlocke', 'smallant', 'ludwig', 'pokemon challenge', 'pokemon challenges', 'alpharad', 'wolfeyvgc', 'purplecliffe', 'pm7', 'pokemen7', 'mandjtv', 'shiny pokemon', 'pokemon scarlet', 'pokemon violet', 'scarlet', 'violet', 'scarlet and violet', 'fuecoco', 'quaxly', 'sprigatito', 'new pokemon', 'Pokémon', 'best new pokemon', '10 best new pokemon', 'scarlet and violet new pokemon', 'strongest new pokemon', 'new pokemon tier list']"
4,nMIG5iGvylY,2022-12-06T19:05:03Z,Game Theory: You Are Being LIED To! (Bendy and The Dark Revival),UCo_IB5145EVNcf8hw1Kku7w,The Game Theorists,,2d,hd,TRUE,TRUE,1404546,77286,3253,0,20,Gaming,"['Bendy and the dark revival', 'bendy', 'bendy 2', 'batdr', 'bendy and the ink machine', 'batim', 'bendy lore', 'bendy lore explained', 'bendy ending explained', 'bendy theory', 'bendy explained', 'bendy bendy ending', 'bendy full game', 'bend 2 trailer', 'bendy and the dark revival trailer', 'bendy and the dark revival ending', 'bendy alice angel', 'bendy all endings', 'MatPat', 'Game Theory', 'Game Theory Bendy', 'MatPat Bendy', 'bendy and the dark revival full game', 'bendy and the dark revival gameplay', 'game theorists']"
5,IuY54A3bOmg,2022-12-07T16:00:16Z,Lana Del Rey - Did you know that there's a tunnel under Ocean Blvd (Audio),UC3N5y6UWKJaKqoU2b_0MfTQ,LanaDelReyVEVO,,2d,hd,FALSE,TRUE,1234863,187876,19714,0,10,Music,"['Lana', 'Del', 'Rey', 'Did', 'you', 'know', 'that', ""there's"", 'tunnel', 'under', 'Ocean', 'Blvd', '(Audio)', 'Polydor', 'Records', 'Pop']"
6,2xUKzeflvR0,2022-12-07T16:50:52Z,True Facts: Animal Awards,UCVpankR4HtoAVtYnFDUieYA,zefrank1,,2d,hd,FALSE,TRUE,475474,49549,1484,0,10,Music,
7,lPdhXdSiBzY,2022-12-07T15:44:05Z,Bangladesh vs India Highlights || 2nd ODI || India tour of Bangladesh 2022,UCNU0Vv6U1xZS82cIQrgDeqw,Rabbihtolebd Sports,,2d,hd,FALSE,TRUE,6998725,135890,8567,0,10,Music,"['gtv live', 'rabbithole live', 'cricket live', 'live cricket', 'Rabbitholebd Sports', 'Gtv live', 'Gazi tv', 'cricket match highlights', 'match highlights video', 'cricket highlights', 'odi highlights', 'Highlights', 'gtv live cricket', 'gtv live streaming', 'odi live', 'odi cricket match', 'Bangladesh vs India', 'BDvsIN', 'Banvsind', 'India vs Bangladesh', 'Bangladesh', 'India', 'Shakib Al Hasan', 'Miraz', 'Kohli', 'India tour of Bangladesh', 'All', 'Wickets', 'Bangladesh vs India Highlights || 2nd ODI || India tour of Bangladesh 2022']"
8,x41zqK4JLA0,2022-12-06T19:16:41Z,CHAPTER 4 MEMES (best season),UCw1SQ6QRRtfAhrN_cjkrOgA,LazarBeam,,2d,hd,FALSE,TRUE,2147434,132850,4387,0,10,Music,
9,G-d2bkcPEb4,2022-12-07T17:00:12Z,I Built a LEGO Train Around My CEILING!,UCq4qiifOaFGW3a2oljSfxUg,Half-Asleep Chris,,2d,hd,TRUE,TRUE,397902,18874,1551,0,10,Music,
10,sV-kFe_Wbt8,2022-12-06T21:36:00Z,Pat McAfee Reacts To Andrew Luck Finally Explaining Why He Retired 3 Years After,UCxcTeAKWJca6XyJ37_ZoKIQ,The Pat McAfee Show,,2d,hd,FALSE,TRUE,1039953,12967,2696,0,17,Sports,"['pat mcafee', 'podcast', 'sports', 'nfl', 'ncaa', 'football', 'kicker', 'pat mcafee show', 'american football', 'nfl news', 'pat mcafee clips', 'pat mcafee reacts', 'pat mcafee highlights', 'pat mcafee live', 'pat mcafee show live', 'pat mcafee podcast', 'the pat mcafee show', 'pat mcafee andrew luck', 'pat mcafee andrew luck retirement', 'pat mcafee andrew luck picture', 'andrew luck', 'andrew luck highlights', 'andrew luck retiring', 'andrew luck retirement speech', 'andrew luck interview', 'andrew luck retires during game']"
11,M4nVV0XJbN8,2022-12-07T03:39:37Z,2022 Music Icon Shania Twain Performs | People’s Choice Awards 2022,UCccjdJEay2hpb5scz61zY6Q,NBC,,2d,hd,TRUE,TRUE,285471,3206,413,0,17,Sports,"['shania twain', 'music icon', 'performance', '2022 people’s choice awards', 'nbc', 'live', 'tuesday night', 'award show', 'celebrities', 'performances', 'winner', 'people’s choice', 'country music', 'music icon performance']"
12,vwbQxMY7yds,2022-12-06T18:05:06Z,Film Theory: Who’s REALLY in Control?! (DHMIS),UC3sznuotAs2ohg_U__Jzj_Q,The Film Theorists,,2d,hd,TRUE,TRUE,1682778,111183,3871,0,17,Sports,"['Dhmis', 'don’t hug me i’m scared', 'dhmis tv show', 'dhmis season 2', 'dhmis season 1', 'dhmis tv', 'dont hug me im scared season 2', 'don’t hug me i’m scared 2022', 'dont hug me im scared new episodes', 'dhmis react', 'dhmis reaction', 'dhmis trailer', 'dhmis theory', 'dhmis episode one', 'dont hug me im scared', 'don’t hug me im scared tv show', 'red guy', 'yellow guy', 'dhmis duck', 'dhmis episode 1', 'dhmis episode 2', 'dhmis intro', 'dhmis book', 'lesley dhmis', 'matpat dhmis', ""don't hug me i'm scared""]"
13,9K0tx1afExw,2022-12-06T20:15:00Z,Hermitcraft 9: Episode 30 - BACK TO HERMITCRAFT!,UCR9Gcq0CMm6YgTzsDxAxjOQ,Grian,,2d,hd,TRUE,TRUE,867032,64924,4194,0,17,Sports,"['Minecraft', 'Grian', 'building', 'grian', 'mincraft', 'yt:quality=high', 'minecraft', 'hermitcraft', 'minecraft hermitcraft', 'season 9', 'grian hermitcraft', 'grumbot', 'minecraft multiverse', 'episode 30']"
14,a1OrQIg-7ao,2022-12-06T15:00:08Z,Destiny 2: The Witch Queen - Season of the Seraph Trailer,UC52XYgEExV9VG6Rt-6vnzVA,Destiny 2,,2d,hd,TRUE,FALSE,932948,31273,3389,0,17,Sports,['Destiny']
15,Qsbe1pD8ocE,2022-12-06T15:52:00Z,The Horror of the Slaver Ant,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,,2d,hd,TRUE,TRUE,2567337,168832,6649,0,27,Education,
16,1ez1tgiY5ds,2022-12-07T17:03:15Z,Avatar: The Way of Water l Nothing Is Lost (You Give Me Strength) by The Weeknd,UC0WP5P-ufpRfjbNrmOWwLBQ,The Weeknd,,2d,hd,FALSE,FALSE,516452,46897,2066,0,27,Education,"['the weeknd', 'avatar', 'avatar 2', 'avatar the Wayne of water', 'the way of water avatar', 'the weeknd avatar', 'the weeknd avatar the way of water', 'the weeknd nothing is lost', 'weeknd', 'weeknd avatar', 'weeknd nothing is lost', 'nothing is lost weeknd', 'nothing is lost weeknd avatar', 'the weekend']"
17,2vfmL4q2koo,2022-12-06T15:00:00Z,RM 'Still Life (with Anderson .Paak)' Official MV,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,,2d,hd,TRUE,TRUE,4989437,1092067,59217,0,27,Education,"['HYBE', 'HYBE LABELS', '하이브', '하이브레이블즈']"
18,OoDHM_A1axc,2022-12-07T15:59:35Z,M3GAN - official trailer 2,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,,2d,hd,TRUE,TRUE,850550,12061,1730,0,27,Education,
19,rL0aTngmXsc,2022-12-07T00:00:10Z,Fredo Bang - Double Dutch (Official Video),UC8FHFLWe9KkG0eoxPMIgcpg,Fredo Bang,,2d,hd,FALSE,TRUE,185193,15202,786,0,27,Education,
20,_G1g7UxSFRg,2022-12-07T01:00:09Z,Rio Da Yung OG - Speak The Truth (Official Video),UCjUy5GbylYJC6kxJZYRwwVA,Rio Da Yung OG,,2d,hd,FALSE,TRUE,160891,18614,1505,0,10,Music,"['Rio Da Yung OG', 'Speak The Truth', '#Boyz Entertainment LLC', 'Empire']"
21,zqlKtXf8eo0,2022-12-07T14:15:02Z,I dry-aged STEAKS in 3 yrs. PEPPERS and eat it!,UCfE5Cz44GlZVyoaYTHJbuZw,Guga Foods,,2d,hd,FALSE,TRUE,509827,19936,1148,0,10,Music,"['spicy', 'dry age', 'experiment', 'cooking', 'griling', 'best steak', 'steak cooking', 'how to grill', 'how to make steak', 'spicy steak', 'steak experiment', 'food', 'steak expert', 'steak channel']"
22,fMPJ1uEfWz0,2022-12-06T23:48:06Z,"Thank you, Benny",UCOgaIuQYGr6ow_jbote4BKA,Maximilian Dood,,2d,hd,FALSE,TRUE,557360,81965,12559,0,10,Music,"['maximilian', 'dood', 'fighting', 'games', 'capcom', 'street', 'fighter', 'hype', 'rage', 'max', 'reaction', 'twitch', 'videos', 'yo', 'videogames', 'maximilian_dood', 'max dood', 'dude', 'stream', 'streaming', 'benny', 'dog']"
23,Ss9AjwvRHGk,2022-12-07T04:00:09Z,XSOLEIL - HOLD IT DOWN (Official Music Video) | NIJISANJI EN,UC-JSeFfovhNsEhftt1WHMvg,NIJISANJI EN Official,,2d,hd,FALSE,TRUE,670777,86226,3946,0,10,Music,"['にじさんじ', 'nijisanji', 'NIJISANJI EN', 'NIJISANJI English', 'LazuLight', 'envtuber', 'Vtuber', 'vtuber', 'virtual youtuber', 'anime', 'OBSYDIA', 'Ethyria', 'Luxiem', 'Noctyx', 'ILUNA', 'XSOLEIL', 'Zaion LanZa', 'Doppio Dropscythe', 'Meloco Kyoran', 'Hex Haywire', 'Kotoka Torahime', 'Ver Vermillion', 'aia amare', 'kyo kaneko', 'nijisanji vtuber debut', 'debut program', 'nijisanji en debut']"
24,rWoEsIBYwn8,2022-12-07T14:00:10Z,Guiding Stars 2022,UCEeHmfGLcSga8gRlHCMt6zg,Google Local Guides,,2d,hd,TRUE,FALSE,325614,19509,6886,0,10,Music,
25,l57BByr5-V8,2022-12-07T01:09:53Z,Sounds from the Sideline | #INDvsDAL | Dallas Cowboys 2022,UCC0BPKJxAyxjQoRTYbpW0FQ,Dallas Cowboys,,2d,hd,FALSE,TRUE,238752,6798,585,0,17,Sports,"['dallas cowboys', 'sounds from the sideline dallas cowboys', 'cowboys', 'dallas cowboys sounds from the sideline', 'micah parsons', 'cowboys sounds from the sideline', 'micah parsons highlights', 'dak presoctt', 'trevon diggs', ""cowboys mic'd up"", 'ceedee lamb', ""dallas cowboys mic'd up"", 'cowboys vs washington', 'sounds of the sideline cowboys', 'cowboys sound', 'cowboys sideline sounds', 'cowboys break', 'talkin cowboys', 'dallas cowboys highlights', 'hanging with the boys', 'ezekiel elliott']"
